pdb	size (kDa)
7tgfA	29.91
8emzA	34.02
8h3xC	44.40
8gz5A	23.35
8cwuA	23.08
7x2mE	22.97
7voaB	23.37
7ubxB	43.70
7th2A	30.11
8en2A	34.48
8ew6W	14.54
7yz9A	28.16
7w1sA	24.48
7zmvA	49.47
7unzD	32.15
8en3A	34.29
7tgiA	29.91
7nxxA	15.80
8dtnF	3.72
8h3yC	44.40
7q3qA	22.26
7tprC	21.86
7x2jS	23.73
7b5gC	22.36
7x2lE	21.98
8dtuC	3.48
8dquF	12.38
7uiaA	47.34
7t5fD	49.50
7wkiA	22.09
7x7eD	21.75
7qbgC	45.60
7qbgC	15.60
7wd2B	22.20
7qneA	51.80
7qneE	54.12
7r24A	45.00
7xqvA	20.67
7whiA	22.05
8bb7B	56.39
8en0A	34.29
