pdb,avg_dockq_bound,avg_dockq_unbound,max_dockq_bound,max_dockq_unbound,perc_restrained
8cwuB,0.31070000000000003,0.08120000000000001,0.37,0.147,78.94736842105263
7qneG,0.0273,0.030699999999999998,0.069,0.042,45.83333333333333
7x2jB,0.3591,0.13829999999999998,0.58,0.347,52.17391304347826
7wkiB,0.1437,0.0963,0.195,0.152,66.66666666666666
8h3xA,0.6004,0.3846,0.741,0.652,66.66666666666666
8dtuA,0.04279999999999999,0.10049999999999999,0.061,0.295,63.1578947368421
8gz5B,0.3082,0.2016,0.657,0.789,93.33333333333333
8en2D,0.09290000000000001,0.093,0.316,0.211,47.05882352941176
7q3qB,0.1172,0.034100000000000005,0.827,0.069,82.35294117647058
7voaA,0.15360000000000001,0.11380000000000001,0.615,0.378,76.47058823529412
7unzA,0.0322,0.0318,0.047,0.047,70.0
7tgiB,0.1818,0.3579,0.731,0.748,37.5
8h3yE,0.4102,0.5846000000000001,0.877,0.609,75.0
8dquB,0.42329999999999995,0.0513,0.867,0.06,81.25
7x2mB,0.26549999999999996,0.24130000000000001,0.62,0.47,81.25
7x2lB,0.8295,0.21539999999999998,0.905,0.357,52.63157894736842
7xqvB,0.0485,0.04409999999999999,0.062,0.058,70.58823529411765
7th2C,0.0522,0.1234,0.121,0.214,53.84615384615385
8dtnE,0.0757,0.051000000000000004,0.109,0.077,92.3076923076923
7uiaB,0.032100000000000004,0.0269,0.061,0.044,72.22222222222221
8en3C,0.1092,0.0731,0.129,0.109,66.66666666666666
7ubxC,0.0517,0.0533,0.076,0.079,61.53846153846154
8bb7D,0.0826,0.0792,0.47,0.226,73.07692307692307
7tprE,0.020700000000000003,0.0258,0.029,0.049,66.66666666666666
8en0D,0.08280000000000001,0.08549999999999999,0.13,0.117,73.33333333333333
8ew6V,0.10900000000000001,0.1183,0.198,0.137,43.75
7whiG,0.2757,0.07050000000000001,0.685,0.271,40.909090909090914
7x7eA,0.055499999999999994,0.07529999999999999,0.077,0.092,73.68421052631578
7t5fF,0.04730000000000001,0.03590000000000001,0.196,0.041,78.57142857142857
7r24C,0.1977,0.031400000000000004,0.704,0.082,62.5
8emzB,0.41669999999999996,0.22969999999999996,0.55,0.478,78.94736842105263
7qbgE,0.06290000000000001,0.08549999999999999,0.213,0.479,37.93103448275862
7b5gD,0.028600000000000004,0.0201,0.037,0.038,33.33333333333333
7nxxB,0.0743,0.1314,0.141,0.329,50.0
7tgfB,0.3536,0.19360000000000002,0.832,0.697,42.30769230769231
7r24E,0.10629999999999999,0.4225,0.484,0.44,50.0
7zmvG,0.06020000000000001,0.08480000000000001,0.076,0.447,45.0
7w1sB,0.1024,0.11400000000000002,0.201,0.435,86.66666666666667
7wd2D,0.21700000000000003,0.07819999999999998,0.354,0.248,59.09090909090909
7yz9B,0.0677,0.06760000000000001,0.084,0.095,55.55555555555556
