pdb	scenario	struct	model_flexref	fnat_flex	model_rigidbody	fnat_rigid	fnat_diff
8en2D	loose	b	flexref_83.pdb	0.897	rigidbody_414.pdb	0.821	0.076
8en2D	loose	b	flexref_190.pdb	0.615	rigidbody_973.pdb	0.615	0.000
8en2D	loose	b	flexref_17.pdb	0.718	rigidbody_927.pdb	0.692	0.026
8en2D	loose	b	flexref_98.pdb	0.821	rigidbody_102.pdb	0.615	0.206
8en2D	loose	b	flexref_198.pdb	0.718	rigidbody_474.pdb	0.641	0.077
8en2D	loose	b	flexref_173.pdb	0.769	rigidbody_166.pdb	0.641	0.128
8en2D	loose	b	flexref_79.pdb	0.462	rigidbody_446.pdb	0.308	0.154
8en2D	loose	b	flexref_189.pdb	0.769	rigidbody_23.pdb	0.590	0.179
8en2D	loose	b	flexref_146.pdb	0.769	rigidbody_88.pdb	0.641	0.128
8en2D	loose	b	flexref_200.pdb	0.769	rigidbody_182.pdb	0.590	0.179
8en2D	loose	b	flexref_167.pdb	0.667	rigidbody_838.pdb	0.615	0.052
8en2D	loose	b	flexref_35.pdb	0.692	rigidbody_874.pdb	0.718	-0.026
8en2D	loose	b	flexref_33.pdb	0.462	rigidbody_407.pdb	0.308	0.154
8en2D	loose	b	flexref_72.pdb	0.744	rigidbody_19.pdb	0.590	0.154
8en2D	loose	b	flexref_126.pdb	0.821	rigidbody_92.pdb	0.615	0.206
8en2D	loose	b	flexref_103.pdb	0.667	rigidbody_955.pdb	0.513	0.154
8en2D	loose	b	flexref_48.pdb	0.692	rigidbody_198.pdb	0.615	0.077
8en2D	loose	b	flexref_112.pdb	0.667	rigidbody_53.pdb	0.615	0.052
8en2D	loose	b	flexref_65.pdb	0.718	rigidbody_817.pdb	0.692	0.026
8en2D	loose	b	flexref_140.pdb	0.692	rigidbody_141.pdb	0.615	0.077
8en2D	loose	b	flexref_195.pdb	0.692	rigidbody_899.pdb	0.692	0.000
8en2D	loose	b	flexref_196.pdb	0.744	rigidbody_916.pdb	0.692	0.052
8en2D	loose	b	flexref_27.pdb	0.564	rigidbody_943.pdb	0.564	0.000
8en2D	loose	b	flexref_61.pdb	0.795	rigidbody_858.pdb	0.718	0.077
8en2D	loose	b	flexref_73.pdb	0.795	rigidbody_952.pdb	0.692	0.103
8en2D	loose	b	flexref_166.pdb	0.667	rigidbody_55.pdb	0.641	0.026
8en2D	loose	b	flexref_108.pdb	0.744	rigidbody_196.pdb	0.615	0.129
8en2D	loose	b	flexref_54.pdb	0.692	rigidbody_835.pdb	0.718	-0.026
