pdb	cluster_id	centroid_file
7b5gD	0	7b5g_D_C_unrelaxed_rank_003_alphafold2_multimer_v3_model_3_seed_000_nanobody
7b5gD	1	7b5g_D_C_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_003_nanobody
7b5gD	2	imbuilder_7b5gD_rank1
7b5gD	3	7b5g_D_C_unrelaxed_rank_014_alphafold2_multimer_v3_model_4_seed_000_nanobody
7b5gD	4	imbuilder_7b5gD_rank2
7b5gD	5	imbuilder_7b5gD_rank3
7b5gD	6	7b5g_D_C_unrelaxed_rank_007_alphafold2_multimer_v3_model_4_seed_004_nanobody
7b5gD	7	imbuilder_7b5gD_rank0
7nxxB	0	imbuilder_7nxxB_rank1
7nxxB	1	imbuilder_7nxxB_rank3
7nxxB	2	7nxx_B_A_unrelaxed_rank_009_alphafold2_multimer_v3_model_4_seed_003_nanobody
7nxxB	3	imbuilder_7nxxB_rank2
7q3qB	0	imbuilder_7q3qB_rank3
7q3qB	1	imbuilder_7q3qB_rank2
7q3qB	2	7q3q_B_A_unrelaxed_rank_001_alphafold2_multimer_v3_model_3_seed_001_nanobody
7qbgE	0	7qbg_E_C_B_unrelaxed_rank_003_alphafold2_multimer_v3_model_3_seed_002_nanobody
7qbgE	1	7qbg_E_C_B_unrelaxed_rank_007_alphafold2_multimer_v3_model_1_seed_003_nanobody
7qneG	0	7qne_G_A_E_unrelaxed_rank_013_alphafold2_multimer_v3_model_3_seed_002_nanobody
7r24C	0	imbuilder_7r24C_rank2
7r24C	1	7r24_C_A_unrelaxed_rank_001_alphafold2_multimer_v3_model_2_seed_000_nanobody
7r24C	2	imbuilder_7r24C_rank0
7r24E	0	7r24_E_A_unrelaxed_rank_022_alphafold2_multimer_v3_model_1_seed_001_nanobody
7r24E	1	7r24_E_A_unrelaxed_rank_004_alphafold2_multimer_v3_model_2_seed_003_nanobody
7t5fF	0	7t5f_F_D_unrelaxed_rank_010_alphafold2_multimer_v3_model_3_seed_002_nanobody
7t5fF	1	7t5f_F_D_unrelaxed_rank_002_alphafold2_multimer_v3_model_4_seed_000_nanobody
7tgfB	0	imbuilder_7tgfB_rank1
7tgfB	1	7tgf_B_A_unrelaxed_rank_004_alphafold2_multimer_v3_model_4_seed_000_nanobody
7tgfB	2	7tgf_B_A_unrelaxed_rank_025_alphafold2_multimer_v3_model_2_seed_003_nanobody
7tgfB	3	imbuilder_7tgfB_rank3
7tgfB	4	imbuilder_7tgfB_rank2
7tgiB	0	7tgi_B_A_unrelaxed_rank_018_alphafold2_multimer_v3_model_5_seed_002_nanobody
7tgiB	1	imbuilder_7tgiB_rank1
7tgiB	2	7tgi_B_A_unrelaxed_rank_002_alphafold2_multimer_v3_model_4_seed_001_nanobody
7tgiB	3	7tgi_B_A_unrelaxed_rank_017_alphafold2_multimer_v3_model_4_seed_002_nanobody
7tgiB	4	imbuilder_7tgiB_rank2
7tgiB	5	7tgi_B_A_unrelaxed_rank_019_alphafold2_multimer_v3_model_2_seed_001_nanobody
7tgiB	6	7tgi_B_A_unrelaxed_rank_016_alphafold2_multimer_v3_model_2_seed_002_nanobody
7th2C	0	imbuilder_7th2C_rank3
7th2C	1	7th2_C_A_unrelaxed_rank_004_alphafold2_multimer_v3_model_2_seed_000_nanobody
7th2C	2	imbuilder_7th2C_rank0
7tprE	0	imbuilder_7tprE_rank0
7tprE	1	7tpr_E_C_unrelaxed_rank_007_alphafold2_multimer_v3_model_3_seed_000_nanobody
7tprE	2	7tpr_E_C_unrelaxed_rank_019_alphafold2_multimer_v3_model_2_seed_002_nanobody
7tprE	3	imbuilder_7tprE_rank3
7tprE	4	7tpr_E_C_unrelaxed_rank_004_alphafold2_multimer_v3_model_4_seed_002_nanobody
7tprE	5	7tpr_E_C_unrelaxed_rank_005_alphafold2_multimer_v3_model_4_seed_001_nanobody
7tprE	6	imbuilder_7tprE_rank1
7ubxC	0	7ubx_C_B_unrelaxed_rank_016_alphafold2_multimer_v3_model_2_seed_002_nanobody
7ubxC	1	7ubx_C_B_unrelaxed_rank_023_alphafold2_multimer_v3_model_3_seed_003_nanobody
7ubxC	2	7ubx_C_B_unrelaxed_rank_018_alphafold2_multimer_v3_model_3_seed_000_nanobody
7ubxC	3	imbuilder_7ubxC_rank0
7ubxC	4	7ubx_C_B_unrelaxed_rank_002_alphafold2_multimer_v3_model_5_seed_000_nanobody
7ubxC	5	imbuilder_7ubxC_rank3
7ubxC	6	imbuilder_7ubxC_rank1
7ubxC	7	7ubx_C_B_unrelaxed_rank_001_alphafold2_multimer_v3_model_3_seed_001_nanobody
7ubxC	8	7ubx_C_B_unrelaxed_rank_003_alphafold2_multimer_v3_model_5_seed_004_nanobody
7ubxC	9	7ubx_C_B_unrelaxed_rank_004_alphafold2_multimer_v3_model_5_seed_003_nanobody
7ubxC	10	imbuilder_7ubxC_rank2
7uiaB	0	7uia_B_A_unrelaxed_rank_004_alphafold2_multimer_v3_model_3_seed_004_nanobody
7uiaB	1	7uia_B_A_unrelaxed_rank_014_alphafold2_multimer_v3_model_1_seed_003_nanobody
7uiaB	2	7uia_B_A_unrelaxed_rank_018_alphafold2_multimer_v3_model_5_seed_003_nanobody
7uiaB	3	7uia_B_A_unrelaxed_rank_025_alphafold2_multimer_v3_model_1_seed_002_nanobody
7uiaB	4	imbuilder_7uiaB_rank0
7uiaB	5	imbuilder_7uiaB_rank3
7uiaB	6	imbuilder_7uiaB_rank2
7uiaB	7	imbuilder_7uiaB_rank1
7unzA	0	imbuilder_7unzA_rank0
7unzA	1	7unz_A_D_unrelaxed_rank_021_alphafold2_multimer_v3_model_5_seed_002_nanobody
7unzA	2	7unz_A_D_unrelaxed_rank_012_alphafold2_multimer_v3_model_5_seed_001_nanobody
7unzA	3	7unz_A_D_unrelaxed_rank_015_alphafold2_multimer_v3_model_2_seed_003_nanobody
7unzA	4	7unz_A_D_unrelaxed_rank_009_alphafold2_multimer_v3_model_4_seed_002_nanobody
7unzA	5	imbuilder_7unzA_rank2
7unzA	6	7unz_A_D_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_001_nanobody
7unzA	7	7unz_A_D_unrelaxed_rank_008_alphafold2_multimer_v3_model_1_seed_004_nanobody
